checkpointNum,timestamp,iteration,epoch,modelType,filename
0,1777316978597,938,0,MultiLayerNetwork,checkpoint_0_MultiLayerNetwork.zip
1,1777316980706,1876,1,MultiLayerNetwork,checkpoint_1_MultiLayerNetwork.zip
2,1777316982569,2814,2,MultiLayerNetwork,checkpoint_2_MultiLayerNetwork.zip
3,1777316984381,3752,3,MultiLayerNetwork,checkpoint_3_MultiLayerNetwork.zip
4,1777316986341,4690,4,MultiLayerNetwork,checkpoint_4_MultiLayerNetwork.zip
5,1777316988236,5628,5,MultiLayerNetwork,checkpoint_5_MultiLayerNetwork.zip
6,1777316990213,6566,6,MultiLayerNetwork,checkpoint_6_MultiLayerNetwork.zip
7,1777316992056,7504,7,MultiLayerNetwork,checkpoint_7_MultiLayerNetwork.zip
8,1777316994043,8442,8,MultiLayerNetwork,checkpoint_8_MultiLayerNetwork.zip
9,1777316995901,9380,9,MultiLayerNetwork,checkpoint_9_MultiLayerNetwork.zip
10,1777316997822,10318,10,MultiLayerNetwork,checkpoint_10_MultiLayerNetwork.zip
11,1777316999788,11256,11,MultiLayerNetwork,checkpoint_11_MultiLayerNetwork.zip
12,1777317001748,12194,12,MultiLayerNetwork,checkpoint_12_MultiLayerNetwork.zip
13,1777317003651,13132,13,MultiLayerNetwork,checkpoint_13_MultiLayerNetwork.zip
14,1777317005547,14070,14,MultiLayerNetwork,checkpoint_14_MultiLayerNetwork.zip
15,1777317007538,15008,15,MultiLayerNetwork,checkpoint_15_MultiLayerNetwork.zip
16,1777317009507,15946,16,MultiLayerNetwork,checkpoint_16_MultiLayerNetwork.zip
17,1777317011573,16884,17,MultiLayerNetwork,checkpoint_17_MultiLayerNetwork.zip
18,1777317013691,17822,18,MultiLayerNetwork,checkpoint_18_MultiLayerNetwork.zip
19,1777317015740,18760,19,MultiLayerNetwork,checkpoint_19_MultiLayerNetwork.zip
20,1777317018074,19698,20,MultiLayerNetwork,checkpoint_20_MultiLayerNetwork.zip
21,1777317020013,20636,21,MultiLayerNetwork,checkpoint_21_MultiLayerNetwork.zip
22,1777317021944,21574,22,MultiLayerNetwork,checkpoint_22_MultiLayerNetwork.zip
23,1777317023859,22512,23,MultiLayerNetwork,checkpoint_23_MultiLayerNetwork.zip
24,1777317025806,23450,24,MultiLayerNetwork,checkpoint_24_MultiLayerNetwork.zip
25,1777317027744,24388,25,MultiLayerNetwork,checkpoint_25_MultiLayerNetwork.zip
26,1777317029786,25326,26,MultiLayerNetwork,checkpoint_26_MultiLayerNetwork.zip
27,1777317031783,26264,27,MultiLayerNetwork,checkpoint_27_MultiLayerNetwork.zip
28,1777317033837,27202,28,MultiLayerNetwork,checkpoint_28_MultiLayerNetwork.zip
29,1777317035813,28140,29,MultiLayerNetwork,checkpoint_29_MultiLayerNetwork.zip
